6.24 Ratios,"6.24 a razon, de proporción",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requires student to solve a problem using ratios with specified scaffolded steps.,Requiere que el estudiante resuelva un problema usando proporciones con pasos específicos con andamios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Your Work,Muestra tu trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Answers,Respuestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
given,dadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem 1,Problem1-ESP,Problem 2,Problem2-ESP,Problem 3,Problem3-ESP,Problem 12,Problem12-ESP,Problem 13,Problem13-ESP,Problem 14,Problem14-ESP,Problem 15,Problem15-ESP,Problem 21,Problem21-ESP,Problem 4,Problem4-ESP,Problem 5,Problem5-ESP,Problem 6,Problem6-ESP,Problem 7,Problem7-ESP,Problem 8,Problem8-ESP,Problem 9,Problem9-ESP,Problem 10,Problem10-ESP,Problem 11,Problem11-ESP,Problem 16,Problem16-ESP,Problem 17,Problem17-ESP,Problem 18,Problem18-ESP,Problem 19,Problem19-ESP,Problem 20,Problem20-ESP
%(denom)%,10,10,5,5,4,4,7,7,5,5,10,10,3,3,15,15,400,400,60,60,250,250,8,8,3,3,9,,8,,3,,5,,6,,8,,16,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(hint11)%,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,,,,,,,,,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,
%(hint12)%,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,375/400,375/400,36/60,36/60,175/250,175/250,6/8,6/8,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,
%(hint13)%,Please enter '140' in the highlighted field.,"Por favor, ingrese '140' en el campo resaltado.",Please enter '72' in the highlighted field.,"Por favor, introduzca '72' en el campo resaltado.",Please enter '15' in the highlighted field.,"Por favor, introduzca '15' en el campo resaltado.",Please enter '42' in the highlighted field.,"Por favor, ingrese '42' en el campo resaltado.",Please enter '9' in the highlighted field.,"Por favor, introduzca '9' en el campo resaltado.",Please enter '45' in the highlighted field.,"Por favor, ingrese '45' en el campo resaltado.",Please enter '3652' in the highlighted field.,"Por favor, ingrese '3652' en el campo resaltado.",Please enter '187' in the highlighted field.,"Por favor, introduzca '187' en el campo resaltado.",Please enter '1-375/400)*400' in the highlighted field.,"Por favor, ingrese '1-375 / 400) * 400' en el campo resaltado.",Please enter '1-36/60)*60' in the highlighted field.,"Por favor, ingrese '1-36 / 60) * 60' en el campo resaltado.",Please enter '1-175/250)*250' in the highlighted field.,"Por favor, ingrese '1-175 / 250) * 250' en el campo resaltado.",Please enter '1-6/8)*8' in the highlighted field.,"Por favor, ingrese '1-6 / 8) * 8' en el campo resaltado.",Please enter '6' in the highlighted field.,"Por favor, ingrese '6' en el campo resaltado.",Please enter '27' in the highlighted field.,,Please enter '720' in the highlighted field.,,Please enter '45' in the highlighted field.,,Please enter '25' in the highlighted field.,,Please enter '120' in the highlighted field.,,Please enter '32' in the highlighted field.,,Please enter '400' in the highlighted field.,,Please enter '60' in the highlighted field.,
,,,,,,,,,,,,,,,,,"Please enter 'expressionMatches((1-375/400)*400,input)' in the highlighted field.","Por favor, ingrese 'expressionMatches ((1-375 / 400) * 400, input)' en el campo resaltado.","Please enter 'expressionMatches((1-36/60)*60,input)' in the highlighted field.","Por favor, ingrese 'expressionMatches ((1-36 / 60) * 60, input)' en el campo resaltado.","Please enter 'expressionMatches((1-175/250)*250,input)' in the highlighted field.","Por favor, ingrese 'expressionMatches ((1-175 / 250) * 250, input)' en el campo resaltado.","Please enter 'expressionMatches((1-6/8)*8,input)' in the highlighted field.","Por favor, ingrese 'expressionMatches ((1-6 / 8) * 8, input)' en el campo resaltado.",,,,,,,,,,,,,,,,,,
%(hint21)%,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,Este es un número dado en la descripción del problema,"No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.","No, this is not correct.","No, esto no es correcto.",This is a given number in the problem description,Este es un número dado en la descripción del problema,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,,This is a given number in the problem description,
%(hint22)%,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,Please enter '375' in the highlighted field.,"Por favor, ingrese '375' en el campo resaltado.",Please enter '36' in the highlighted field.,"Por favor, ingrese '36' en el campo resaltado.",Please enter '175' in the highlighted field.,"Por favor, ingrese '175' en el campo resaltado.",Please enter '6' in the highlighted field.,"Por favor, ingrese '6' en el campo resaltado.",What number in the problem description represents the value in question?,¿Qué número en la descripción del problema representa el valor en cuestión?,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,,What number in the problem description represents the value in question?,
%(hint23)%,Please enter '7/10' in the highlighted field.,"Por favor, ingrese '7/10' en el campo resaltado.",Please enter '4/5' in the highlighted field.,"Por favor, ingrese '4/5' en el campo resaltado.",Please enter '3/4' in the highlighted field.,"Por favor, ingrese '3/4' en el campo resaltado.",Please enter '6/7' in the highlighted field.,"Por favor, ingrese '6/7' en el campo resaltado.",Please enter '3/5' in the highlighted field.,"Por favor, introduzca '3/5' en el campo resaltado.",Please enter '9/10' in the highlighted field.,"Por favor, ingrese '9/10' en el campo resaltado.",Please enter '2/3' in the highlighted field.,"Por favor, ingrese '2/3' en el campo resaltado.",Please enter '11/15' in the highlighted field.,"Por favor, ingrese '11 / 15 'en el campo resaltado.","Please enter 'expressionMatches(375/400,input)' in the highlighted field.","Por favor, ingrese 'expressionMatches (375/400, input)' en el campo resaltado.","Please enter 'expressionMatches(36/60,input)' in the highlighted field.","Por favor ingrese ""expressionMatches (36/60, input)"" en el campo resaltado.","Please enter 'expressionMatches(175/250,input)' in the highlighted field.","Por favor, ingrese 'expressionMatches (175/250, input)' en el campo resaltado.","Please enter 'expressionMatches(6/8,input)' in the highlighted field.","Por favor, ingrese 'expressionMatches (6/8, input)' en el campo resaltado.",Please enter '2/3' in the highlighted field.,"Por favor, ingrese '2/3' en el campo resaltado.",Please enter '5/9' in the highlighted field.,,Please enter '5/8' in the highlighted field.,,Please enter '2/3' in the highlighted field.,,Please enter '4/5' in the highlighted field.,,Please enter '5/6' in the highlighted field.,,Please enter '5/8' in the highlighted field.,,Please enter '15/16' in the highlighted field.,,Please enter '3/10' in the highlighted field.,
,,,,,,,,,,,,,,,,,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",,,,,,,,,,,,,,,,,,
%(hint31)%,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,Please enter '375/400' in the highlighted field.,Por favor ingrese '375/400' en el campo resaltado.,Please enter '36/60' in the highlighted field.,"Por favor, introduzca '36 / 60 'en el campo resaltado.",Please enter '175/250' in the highlighted field.,"Por favor, ingrese '175/250' en el campo resaltado.",Please enter '6/8' in the highlighted field.,"Por favor, ingrese '6/8' en el campo resaltado.",What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,
%(hint32)%,Try dividing one of the givens by the total number of parts of distance.,Intente dividir uno de los datos dados por el número total de partes de la distancia.,Try dividing one of the givens by the number of parts of his workout already completed.,Intente dividir uno de los datos dados por el número de partes de su entrenamiento que ya completó.,Try dividing one of the givens by the number of parts completed.,Intente dividir uno de los datos dados por el número de partes completadas.,Try dividing one of the givens by the number of parts completed.,Intente dividir uno de los datos dados por el número de partes completadas.,Try dividing one of the givens by the number of parts filled.,Intente dividir uno de los dados por el número de partes llenas.,Try dividing one of the givens by the number of parts completed.,Intente dividir uno de los datos dados por el número de partes completadas.,¿Qué expresión matemática deberías usar para resolver este problema?,¿Qué expresión matemática deberías usar para resolver este problema?,Try dividing one of the givens by the number of parts of boxes already sold.,Intente dividir uno de los dados por el número de partes de cajas ya vendidas.,Please enter '400' in the highlighted field.,"Por favor, introduzca '400' en el campo resaltado.",Please enter '60' in the highlighted field.,"Por favor, ingrese '60' en el campo resaltado.",Please enter '250' in the highlighted field.,"Por favor, ingrese '250' en el campo resaltado.",Please enter '8' in the highlighted field.,"Por favor, ingrese '8' en el campo resaltado.",Try dividing one of the givens by 3.,Intente dividir uno de los datos dados por 3.,Try dividing one of the givens by the total number of parts of the other given.,,Try dividing one of the givens by the total number of parts of the other given.,,Try dividing one of the givens by the total number of parts into which the fence has been divided.,,Try dividing one of the givens by the total number of parts into which the points have been divided.,,Try dividing one of the givens by the total number of parts into which the pounds of food have been divided.,,Try dividing one of the givens by the total number of parts into which the length of the drill has been divided.,,Try dividing one of the givens by the total number of parts into which the copies have been divided.,,Try dividing one of the givens by the total number of parts into which the brownies have been divided.,
%(hint33)%,Please enter '140/7' in the highlighted field.,"Por favor, introduzca '140/7' en el campo resaltado.",Please enter '72/4' in the highlighted field.,"Por favor, ingrese '72 / 4 'en el campo resaltado.",Please enter '15/3' in the highlighted field.,"Por favor, ingrese '15 / 3 'en el campo resaltado.",Please enter '42/6' in the highlighted field.,"Por favor, ingrese '42 / 6 'en el campo resaltado.",Please enter '9/3' in the highlighted field.,"Por favor, ingrese '9/3' en el campo resaltado.",Please enter '45/9' in the highlighted field.,"Por favor, ingrese '45 / 9 'en el campo resaltado.",Please enter '3652/2' in the highlighted field.,"Por favor, ingrese '3652/2' en el campo resaltado.",Please enter '187/11' in the highlighted field.,"Por favor, ingrese '187/11' en el campo resaltado.",,,,,,,,,Please enter '6/3' in the highlighted field.,"Por favor, ingrese '6/3' en el campo resaltado.",Please enter '27/9' in the highlighted field.,,Please enter '720/8' in the highlighted field.,,Please enter '45/3' in the highlighted field.,,Please enter '25/5' in the highlighted field.,,Please enter '120/6' in the highlighted field.,,Please enter '32/8' in the highlighted field.,,Please enter '400/16' in the highlighted field.,,Please enter '60/10' in the highlighted field.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(hint41)%,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,,,,,,,,,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,
