,6.20 Fraction Ordering,6.20 Orden de fracciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(8441951456191747949)%,What is the numerator of the fraction 2/5? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 2/5? El numerador representa la cantidad de partes que debe contar.,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(6890803921609961458)%,Enter 10 into the box and press OK.,Ingrese 10 en el cuadro y presione OK.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(6901793706716722848)%,What is the numerator of the fraction 5/3? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 5/3? El numerador representa la cantidad de partes que debe contar.,%(6890803921609961458)%,Enter 10 into the box and press OK.,Ingrese 10 en el cuadro y presione OK.,%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.
%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(-7836778262758073593)%,Count 2 part(s) from the left and click on the spot.,Cuente 2 partes desde la izquierda y haga clic en el lugar.,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(7210273547138849861)%,"No, Scott is wrong. It is Greg who lives father away.","No, Scott está equivocado. Es Greg quien vive lejos de su padre.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(6784020404)%,5,5
%(-9037735958575261550)%,"You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?","Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?",%(7164131019419560947)%,What is the numerator of the fraction 2/3? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 2/3? El numerador representa la cantidad de partes que debe contar.,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-6995458981179477805)%,The fraction 1/2 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 1/2 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(7164131019419560947)%,What is the numerator of the fraction 2/3? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 2/3? El numerador representa la cantidad de partes que debe contar.,%(-7836778262758073593)%,Count 2 part(s) from the left and click on the spot.,Cuente 2 partes desde la izquierda y haga clic en el lugar.,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-5007751852562870839)%,What is the numerator of the fraction 2/9? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 2/9? El numerador representa la cantidad de partes que debe contar.,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado."
%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(1289891282264534034)%,Rashad's paper chain,Cadena de papel de Rashad,%(-567353288242411306)%,The fraction 4/10 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 4/10 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(7164131019419560947)%,What is the numerator of the fraction 2/3? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 2/3? El numerador representa la cantidad de partes que debe contar.,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(6272018864)%,1,1,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(7681339436560915437)%,The fraction 15/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 15/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.,%(3804466120549538530)%,"Oops! You put the numerator of the fraction. Remember, denominator represents the total number of divisions!","¡UPS! Pones el numerador de la fracción. Recuerde, el denominador representa el número total de divisiones."
%(8494015074260570162)%,Laura has read 1/5 of the novel.,Laura ha leído 1/5 de la novela.,%(-920744306422297420)%,The larger fraction is placed on the number line for the Weight of Franklin's cheese.,La fracción más grande se coloca en la recta numérica del Peso del queso Franklin.,%(6743470307772047661)%,Enter 5 into the box and press OK.,Ingrese 5 en el cuadro y presione OK.,%(-9037735958575261550)%,"You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?","Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?",%(6177601292895122245)%,What is the numerator of the fraction 1/2? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 1/2? El numerador representa la cantidad de partes que debe contar.,%(-2088598916590095274)%,3/7,3/7,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(-9037735958575261550)%,"You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?","Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?",%(-8089833227518690529)%,The fraction 2/9 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 2/9 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(2388345844628018974)%,Count 1 part(s) from the left and click on the spot.,Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.,%(-7718876479176384671)%,8/7,8/7,%(2461891972719738506)%,12/10,12/10,%(-9037735958575261550)%,"You are looking for the fraction that is smaller. Look at the fractions you placed on the number lines, which one is smaller?","Buscas la fracción más pequeña. Mira las fracciones que colocaste en las rectas numéricas, ¿Cuál es más pequeña?",%(-4695732882147911840)%,"-. 1 means '- out of 1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20| equal pieces'. So start at ""0"" and then move over - pieces to the right.","-. 1 significa '- de 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | piezas iguales '. Así que comience en ""0"" y luego mueva las piezas hacia la derecha.",%(8910271916693604033)%,"You are done! Click on the ""done"" button to finish.","¡Estás listo! Haga clic en el botón ""listo"" para terminar.",%(-6162541805699648830)%,Caroline has cut up 10/5 cantaloupes.,Caroline ha cortado 10/5 melones.,%(-1077631938017052448)%,What is the numerator of the fraction 6/4? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 6/4? El numerador representa la cantidad de partes que debe contar.,%(9012950539737359411)%,"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.",¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.
%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(6743470307772047661)%,Enter 5 into the box and press OK.,Ingrese 5 en el cuadro y presione OK.,%(8428609837363179475)%,,,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(2388345844628018974)%,Count 1 part(s) from the left and click on the spot.,Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.,%(1483082712076122809)%,The larger fraction is placed on the number line for the Amount Kewana painted.,La fracción más grande se coloca en la recta numérica de la cantidad que pintó Kewana.,%(8428609837363179475)%,,,%(-3463482393378774134)%,The fraction 1/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 1/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(7932618862764381830)%,"1/9. 2/9 means '2 out of 9 equal pieces'. So start at ""0"" and then move over 2 pieces to the right.","1/9. 2/9 significa '2 de 9 piezas iguales'. Así que empieza en ""0"" y luego muévete 2 piezas hacia la derecha.",%(6599360204565353733)%,The fraction 1/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 1/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-6592820966665526811)%,7/8,7/8,%(-1400610974867600999)%,Distance Greg travels to school,Distancia que Greg viaja a la escuela,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(2400932446481196341)%,Pound of Liz's ground beef,Libra de carne molida de Liz,%(7168021561)%,8,8,%(6743470307772047661)%,Enter 5 into the box and press OK.,Ingrese 5 en el cuadro y presione OK.,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?,%(-5850263421030956732)%,Choose the correct statement from the choices. What are you looking for? The larger or smaller fraction?,Elija la declaración correcta de las opciones. ¿Qué estás buscando? ¿La fracción más grande o más pequeña?
%(6743470307772047661)%,Enter 5 into the box and press OK.,Ingrese 5 en el cuadro y presione OK.,%(8428609837363179475)%,,,,,,%(6743470307772047661)%,Enter 5 into the box and press OK.,Ingrese 5 en el cuadro y presione OK.,%(1289567620942478284)%,0/2,0/2,%(8428609837363179475)%,,,,,,%(-9120457373800629823)%,"2/10. 3/10 means '3 out of 10 equal pieces'. So start at ""0"" and then move over 3 pieces to the right.","2/10. 3/10 significa '3 de cada 10 piezas iguales'. Así que empieza en ""0"" y luego mueve 3 piezas hacia la derecha.",%(8428609837363179475)%,,,%(3655473978193815153)%,"Yes, Jeff was going ahead with the homework.","Sí, Jeff seguía adelante con la tarea.",%(7168021561)%,8,8,%(8428609837363179475)%,,,%(8428609837363179475)%,,,%(-4208658877765457021)%,What is the numerator of the fraction 11/10? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 11/10? El numerador representa la cantidad de partes que debe contar.,%(8428609837363179475)%,,,%(5260254827769716814)%,Count 13 part(s) from the left and click on the spot.,Cuente 13 partes desde la izquierda y haga clic en el lugar.,%(8457601545869752691)%,Charlie is trying out the fruit salad that Todd and Caroline each made for the school picnic. Todd and Caroline used different recipes. Charlie wants to eat a salad with more cantaloupe.  Use the number line to find out whose salad Charlie should try.,Charlie está probando la ensalada de frutas que Todd y Caroline prepararon para el picnic de la escuela. Todd y Caroline usaron recetas diferentes. Charlie quiere comer una ensalada con más melón. Usa la recta numérica para averiguar qué ensalada debería probar Charlie.,%(720571617288898551)%,"2/2. 3/2 means '3 out of 2 equal pieces'. So start at ""0"" and then move over 3 pieces to the right.","2/2. 3/2 significa '3 de 2 piezas iguales'. Así que empieza en ""0"" y luego mueve 3 piezas hacia la derecha.",%(6743470307772047661)%,Enter 5 into the box and press OK.,Ingrese 5 en el cuadro y presione OK.
%(2388345844628018974)%,Count 1 part(s) from the left and click on the spot.,Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.,,,,%(8798772768924840921)%,"Daryl and Rashad are making paper chains. After 5 minutes, Daryl and Rashad compared the lengths of their chains to see who was working faster. Who built a longer piece of paper chain in 5 minutes?","Daryl y Rashad están haciendo cadenas de papel. Después de 5 minutos, Daryl y Rashad compararon la longitud de sus cadenas para ver quién trabajaba más rápido. ¿Quién construyó una cadena de papel más larga en 5 minutos?",%(8428609837363179475)%,,,%(8428609837363179475)%,,,,,,%(-962543404079237413)%,2/3,2/3,%(2388345844628018974)%,Count 1 part(s) from the left and click on the spot.,Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.,,,,%(-3463482393378774134)%,The fraction 1/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 1/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(908011725414480639)%,The fractions line up; they are equivalent fractions!,Las fracciones se alinean; ¡son fracciones equivalentes!,,,,,,,%(7168021561)%,8,8,,,,%(5121495069722533584)%,"12/7. 13/7 means '13 out of 7 equal pieces'. So start at ""0"" and then move over 13 pieces to the right.","12/7. 13/7 significa '13 de 7 piezas iguales'. Así que empieza en ""0"" y luego mueve 13 piezas hacia la derecha.",%(8428609837363179475)%,,,%(8428609837363179475)%,,,%(8428609837363179475)%,,
%(6599360204565353733)%,The fraction 1/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 1/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-962543404079237413)%,2/3,2/3,%(-3918907641076510701)%,The fraction 5/6 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 5/6 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,,,,,,,%(-3861700235891113664)%,"1/3. 2/3 means '2 out of 3 equal pieces'. So start at ""0"" and then move over 2 pieces to the right.","1/3. 2/3 significa '2 de 3 piezas iguales'. Así que empieza en ""0"" y luego muévete 2 piezas hacia la derecha.",%(-8481267479527113627)%,The fraction 2/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 2/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(8428609837363179475)%,,,%(908011725414480639)%,The fractions line up; they are equivalent fractions!,Las fracciones se alinean; ¡son fracciones equivalentes!,%(6272018864)%,1,1,%(8428609837363179475)%,,,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(5260254827769716814)%,Count 13 part(s) from the left and click on the spot.,Cuente 13 partes desde la izquierda y haga clic en el lugar.,%(-5896773643885973514)%,Count 9 part(s) from the left and click on the spot.,Cuente 9 partes desde la izquierda y haga clic en el lugar.,%(-6555271571724134658)%,Which sauce should you choose?,¿Qué salsa elegir?,%(4381911484530455944)%,The fraction 13/7 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 13/7 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,,,,,,,,,
%(8428609837363179475)%,,,%(-8481267479527113627)%,The fraction 2/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 2/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(1966796733305423619)%,The larger fraction is placed on the number line for Daryl's paper chain.,La fracción más grande se coloca en la recta numérica de la cadena de papel de Daryl.,%(908011725414480639)%,The fractions line up; they are equivalent fractions!,Las fracciones se alinean; ¡son fracciones equivalentes!,%(-2943713979535380135)%,What is the numerator of the fraction 5/12? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 5/12? El numerador representa la cantidad de partes que debe contar.,%(-962543404079237413)%,2/3,2/3,%(-7530323687219411018)%,Enter 4 into the box and press OK.,Ingrese 4 en el cuadro y presione OK.,,,,%(7884311672866078033)%,"2/4. 3/4 means '3 out of 4 equal pieces'. So start at ""0"" and then move over 3 pieces to the right.","2/4. 3/4 significa '3 de 4 piezas iguales'. Así que empieza en ""0"" y luego mueve 3 piezas hacia la derecha.",%(2388345844628018974)%,Count 1 part(s) from the left and click on the spot.,Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.,,,,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(6996704087991871619)%,Greg travels 5/3 miles to get to school.,Greg viaja 5/3 millas para llegar a la escuela.,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(6272018864)%,1,1,%(6272037681056612)%,15,15,%(392483030600182865)%,Cantaloupes in Todd's salad,Melones en ensalada de Todd,%(908011725414480639)%,The fractions line up; they are equivalent fractions!,Las fracciones se alinean; ¡son fracciones equivalentes!,%(4793481236163934623)%,What is the numerator of the fraction 5/4? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 5/4? El numerador representa la cantidad de partes que debe contar.
,,,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-5323571097983393906)%,4/12,4/12,%(-8481267479527113627)%,The fraction 2/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 2/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(5006050615299120356)%,Coach should choose John.,El entrenador debería elegir a John.,%(-7530323687219411018)%,Enter 4 into the box and press OK.,Ingrese 4 en el cuadro y presione OK.,%(3051544571554696976)%,Completion of Shannon's homework,Finalización de la tarea de Shannon,%(1018003809050626517)%,"0/4. 1/4 means '1 out of 4 equal pieces'. So start at ""0"" and then move over 1 pieces to the right.","0/4. 1/4 significa '1 de cada 4 piezas iguales'. Así que empieza en ""0"" y luego mueve 1 pieza hacia la derecha.",%(-6592820966665526806)%,7/7,7/7,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-3167637609842389060)%,Work with fraction greater then 1,Trabajar con una fracción mayor que 1,%(-797202003488116405)%,What is the numerator of the fraction 10/9? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 10/9? El numerador representa la cantidad de partes que debe contar.,%(5390990201299375983)%,What is the numerator of the fraction 15/8? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 15/8? El numerador representa la cantidad de partes que debe contar.,%(-8844931991687242502)%,9/5,9/5,%(-9026882106333505332)%,Enter 2 into the box and press OK.,Ingrese 2 en el cuadro y presione OK.,%(-7530323687219411018)%,Enter 4 into the box and press OK.,Ingrese 4 en el cuadro y presione OK.
