Problem Name	Problem1	Problem1ESP	Problem2	Problem2ESP	Problem3	Problem3ESP	Problem5	Problem5ESP	Problem6	Problem6ESP	Problem7	Problem7ESP	Problem8	Problem8ESP	Problem9	Problem9ESP	Problem10	Problem10ESP	Problem11	Problem11ESP	Problem12	Problem12ESP	Problem13	Problem13ESP	Problem14	Problem14ESP	Problem15	Problem15ESP	Problem16	Problem16ESP	Problem17	Problem17ESP	Problem18	Problem18ESP	Problem19	Problem19ESP	Problem20	Problem20ESP	Problem21	Problem21ESP	Problem22	Problem22ESP	Problem23	Problem23ESP	Problem24	Problem24ESP
%(hintMessage_21_please_select_equivalent_fractions)%	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.
%(hintMessage_8_number_senior_pictures_representing)%	Which part of the population are you representing in the denominator of this fraction?	[google]¿Qué parte de la población representa en el denominador de esta fracción?	Which part of the journey are you representing in the denominator of this fraction?	[google]¿Qué parte del viaje estás representando en el denominador de esta fracción?	What part of the carpet installation are you representing in the denominator of this fraction?	[google]¿Qué parte de la instalación de la alfombra está representando en el denominador de esta fracción?	What part of Albert's reading are you representing in the denominator of this fraction?	[google]¿Qué parte de la lectura de Albert estás representando en el denominador de esta fracción?	What part of the radio program are you representing in the denominator of this fraction?	[google]¿Qué parte del programa de radio está representando en el denominador de esta fracción?	What part of the order are you representing in the denominator of this fraction?	[google]¿Qué parte del pedido representa en el denominador de esta fracción?	Which participants in the poll are you representing in the denominator of this fraction?	[google]¿Qué participantes en la encuesta representan en el denominador de esta fracción?	Which viewers are you trying to represent in the denominator of this fraction?	[google]¿Qué espectadores estás tratando de representar en el denominador de esta fracción?	Which gold medalists are you trying to represent in the denominator of this fraction?	[google]¿Qué medallistas de oro estás tratando de representar en el denominador de esta fracción?	Which part of the student's shift are you trying to represent as the denominator of this fraction?	[google]¿Qué parte del cambio del estudiante estás tratando de representar como el denominador de esta fracción?	Which quantity of the wrapping paper represents the denominator of this fraction?	[google]¿Qué cantidad del papel de envoltura representa el denominador de esta fracción?	How many minutes of the movie represents the denominator of this fraction?	[google]¿Cuántos minutos de la película representa el denominador de esta fracción?	What number of yawns represents the denominator of this fraction?	[google]¿Qué número de bostezos representa el denominador de esta fracción?	What part of Joan's salary is represented as the denominator of this fraction?	[google]¿Qué parte del salario de Joan se representa como el denominador de esta fracción?	What part of the poll is going to be represented as the denominator of this fraction?	[google]¿Qué parte de la encuesta se representará como el denominador de esta fracción?	What part of the survey is going to be represented as the denominator of this fraction?	[google]¿Qué parte de la encuesta se representará como el denominador de esta fracción?	What part of the student body is being represented as the denominator of this fraction?	[google]¿Qué parte del alumnado se representa como el denominador de esta fracción?	Which price represents the denominator of this fraction?	[google]¿Qué precio representa el denominador de esta fracción?	Which amount is the denominator of this fraction?	[google]¿Qué cantidad es el denominador de esta fracción?	How many people represent the denominator of this fraction?	[google]¿Cuántas personas representan al denominador de esta fracción?	What part of the math problems are you representing as the denominator of this fraction?	[google]¿Qué parte de los problemas matemáticos estás representando como el denominador de esta fracción?	What part of Alex's score will be represented as the denominator of this fraction?	[google]¿Qué parte del puntaje de Alex se representará como el denominador de esta fracción?	Which value represents the denominator of the fraction?	[google]¿Qué valor representa el denominador de la fracción?
%(hintMessage_17_please_select_cross_multiplication)%	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	[google]Seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.
%(hintMessage_10_please_select_total_number)%	Please select 'total inhabitants of Tuscon' from the highlighted menu.	[google]Seleccione 'Total habitantes de Tucson' en el menú resaltado.	Please select 'miles between Los Angeles and New York City' from the highlighted menu.	[google]Seleccione 'Miles entre Los Ángeles y la ciudad de Nueva York' en el menú resaltado.	Please select 'total sq.ft. of carpeting to be installed' from the highlighted menu.	[google]Seleccione 'Total Sq.ft. de alfombras para instalarse 'en el menú resaltado.	Please select 'total number of pages in the book' from the highlighted menu.	[google]Seleccione 'Número total de páginas en el libro' en el menú resaltado.	Please select 'length of three stories' from the highlighted menu.	[google]Seleccione 'Longitud de tres historias' en el menú resaltado.	Please select 'total cost of the order ($)' from the highlighted menu.	[google]Seleccione 'Costo total del pedido ($)' en el menú resaltado.	Please select 'total number of people in the poll' from the highlighted menu.	[google]Seleccione 'Número total de personas en la encuesta' en el menú resaltado.	Please select 'total number of people in the tri-state area' from the highlighted menu.	[google]Seleccione 'Número total de personas en el área de Tri-State' en el menú resaltado.	Please select 'total number of gold medalists' from the highlighted menu.	[google]Seleccione 'Número total de medallistas de oro' en el menú resaltado.	Please select 'total length of a shift' from the highlighted menu.	[google]Seleccione 'Longitud total de un cambio' del menú resaltado.	Please select 'total sq.ft. of wrapping paper' from the highlighted menu.	[google]Seleccione 'Total Sq.ft. de papel de envoltura 'desde el menú resaltado.	Please select 'length of the entire movie' from the highlighted menu.	[google]Seleccione 'Longitud de toda la película' en el menú resaltado.	Please select 'total number of yawns observed' from the highlighted menu.	[google]Seleccione 'Número total de bostezos observados' en el menú resaltado.	Please select 'Joan's salary before it was taxed ($)' from the highlighted menu.	[google]Seleccione 'Joan's Salary antes de que se haya gravado ($)' en el menú resaltado.	Please select 'total number of American citizens that were in the poll' from the highlighted menu.	[google]Seleccione 'Número total de ciudadanos estadounidenses que estaban en la encuesta' en el menú resaltado.	Please select 'total number of adults in the survey' from the highlighted menu.	[google]Seleccione 'Número total de adultos en la encuesta' en el menú resaltado.	Please select 'total number of students in the school' from the highlighted menu.	[google]Seleccione 'Número total de estudiantes en la escuela' en el menú resaltado.	Please select 'original price of the jeans ($)' from the highlighted menu.	[google]Seleccione 'Precio original de los jeans ($)' en el menú resaltado.	Please select 'price of the computer not including tax ($)' from the highlighted menu.	[google]Seleccione 'Precio de la computadora que no incluye impuestos ($)' en el menú resaltado.	Please select 'customers who were on the phone with Julie' from the highlighted menu.	[google]Seleccione 'clientes que estaban al teléfono con Julie' en el menú resaltado.	Please select 'total number of problems' from the highlighted menu.	[google]Seleccione 'Número total de problemas' en el menú resaltado.	Please select 'total number of points' from the highlighted menu.	[google]Seleccione 'Número total de puntos' en el menú resaltado.	Please select 'cost of dinner without tip ($)' from the highlighted menu.	[google]Seleccione 'Costo de cena sin propina ($)' en el menú resaltado.
%(hintMessage_61_please_select_people_took)%	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.
%(buggyMessage_1_correct)%	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.
%(hintMessage_62_please_enter_2_highlighted)%	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.
%(hintMessage_35_unsure_answer_solve_problem)%	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	[google]Si no está seguro de la respuesta, resuelva el problema en el área gris claro a la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.
%(hintMessage_40_please_click_highlighted_button)%	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.
%(hintMessage_119_since_denominator_factor_100)%	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is a factor of 100, which method will be the best method to solve this problem?	Dado que el denominador es un factor de 100, ¿Cuál será el mejor método para resolver este problema?
%(hintMessage_13_please_enter_n_highlighted)%	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	[google]Ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.	Please enter 'n' in the highlighted field.	Por favor, ingrese 'n' en el campo resaltado.
%(hintMessage_31_please_enter_64_highlighted)%	Please enter '79' in the highlighted field.	[google]Ingrese '79' en el campo resaltado.	Please enter '15.5' in the highlighted field.	[google]Ingrese '15 .5 'en el campo resaltado.	Please enter '81' in the highlighted field.	[google]Ingrese '81' en el campo resaltado.	Please enter '36' in the highlighted field.	[google]Ingrese '36' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '1.5' in the highlighted field.	[google]Ingrese '1.5' en el campo resaltado.	Please enter '9' in the highlighted field.	[google]Ingrese '9' en el campo resaltado.	Please enter '6.5' in the highlighted field.	[google]Ingrese '6.5' en el campo resaltado.	Please enter '12.5' in the highlighted field.	[google]Ingrese '12 .5 'en el campo resaltado.	Please enter '40' in the highlighted field.	[google]Ingrese '40' en el campo resaltado.	Please enter '72' in the highlighted field.	[google]Ingrese '72' en el campo resaltado.	Please enter '70' in the highlighted field.	[google]Ingrese '70' en el campo resaltado.	Please enter '84.25' in the highlighted field.	[google]Ingrese '84 .25 'en el campo resaltado.	Please enter '35.5' in the highlighted field.	[google]Ingrese '35 .5 'en el campo resaltado.	Please enter '65' in the highlighted field.	[google]Ingrese '65' en el campo resaltado.	Please enter '33' in the highlighted field.	[google]Ingrese '33' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '57' in the highlighted field.	[google]Ingrese '57' en el campo resaltado.	Please enter '7' in the highlighted field.	[google]Ingrese '7' en el campo resaltado.	Please enter '63' in the highlighted field.	[google]Ingrese '63' en el campo resaltado.	Please enter '12.5' in the highlighted field.	[google]Ingrese '12 .5 'en el campo resaltado.	Please enter '96' in the highlighted field.	[google]Ingrese '96' en el campo resaltado.	Please enter '15' in the highlighted field.	[google]Ingrese '15' en el campo resaltado.
