Problem Name	Problem1	ProblemESP1	Problem2	ProblemESP2	Problem3	ProblemESP3	Problem4	ProblemESP4	Problem5	ProblemESP5	Problem6	Problem7	ProblemESP7	Problem8	ProblemESP8
%(type4)%	red	N/A	not blue	N/A	blue or red	N/A	squares	N/A	blue squares	N/A	not red	circles	N/A	squares	N/A
%(tar1)%	100	100	1	1	5	5	10	10	7	7	38	2	2	3	3
%(tar2)%	20	20	8	8	25	25	5	5	9	9	14	1	1	6	6
%(tar3)%	60	60	5	5	45	45	20	20	4	4	9	4	4	12	12
%(tar4)%	5	5	15	15	35	35	15	15	1	1	26	3	3	9	9
%(tot)%	100	100	20	20	50	50	25	25	10	10	40	5	5	15	15
%(100ratio1)%	100/100	100/100	5/100	5/100	10/100	10/100	40/100	40/100	70/100	70/100	95/100	40/100	40/100	20/100	20/100
%(100ratio2)%	20/100	20/100	40/100	40/100	50/100	50/100	20/100	20/100	90/100	90/100	35/100	20/100	20/100	40/100	40/100
%(100ratio3)%	60/100	60/100	25/100	25/100	90/100	90/100	80/100	80/100	40/100	40/100	22.5/100	80/100	80/100	80/100	80/100
%(100ratio4)%	5/100	5/100	75/100	75/100	70/100	70/100	60/100	60/100	10/100	10/100	65/100	60/100	60/100	60/100	60/100
%(percent1)%	100	100	5	5	10	10	40	40	70	70	95	40	40	20	20
%(percent2)%	20	20	40	40	50	50	20	20	90	90	35	20	20	40	40
%(percent3)%	60	60	25	25	90	90	80	80	40	40	22.5	80	80	80	80
%(percent4)%	5	5	75	75	70	70	60	60	10	10	65	60	60	60	60
%(decimal1)%	1	1	0.05	0.05	0.1	0.1	0.4	0.4	0.7	0.7	0.95	0.4	0.4	0.2	0.2
%(decimal2)%	0.2	0.2	0.4	0.4	0.5	0.5	0.2	0.2	0.9	0.9	0.35	0.2	0.2	0.4	0.4
%(decimal3)%	0.6	0.6	0.25	0.25	0.9	0.9	0.8	0.8	0.4	0.4	0.225	0.8	0.8	0.8	0.8
%(decimal4)%	0.05	0.05	0.75	0.75	0.7	0.7	0.6	0.6	0.1	0.1	0.65	0.6	0.6	0.6	0.6
%(redfrac1)%	1	1	1/20	1/20	1/10	1/10	2/5	2/5	7/10	7/10	19/20	2/5	2/5	1/5	1/5
%(redfrac2)%	1/5	1/5	2/5	2/5	1/2	1/2	1/5	1/5	9/10	9/10	7/20	1/5	1/5	2/5	2/5
%(redfrac3)%	3/5	3/5	1/4	1/4	9/10	9/10	4/5	4/5	2/5	2/5	9/40	4/5	4/5	4/5	4/5
%(redfrac4)%	1/20	1/20	3/4	3/4	7/10	7/10	3/5	3/5	1/10	1/10	13/20	3/5	3/5	3/5	3/5
%(shapeORitem)%	shapes	N/A	shapes	N/A	shapes	N/A	shapes	N/A	pieces	N/A	shapes	shapes	N/A	shapes	N/A
%(pictureORgraph)%	in the picture	N/A	in the picture	N/A	in the picture	N/A	in the picture	N/A	in the picture	N/A	in the picture	in the picture	N/A	in the picture	N/A
%(gcf1)%	100	100	1	1	5	5	5	5	1	1	2	1	1	3	3
%(gcf2)%	20	20	4	N/A	25	25	5	5	1	1	2	1	1	3	3
%(gcf3)%	20	20	5	5	5	5	5	5	2	N/A	1	1	1	3	3
%(gcf4)%	5	5	5	5	5	5	5	5	1	1	2	1	1	3	3
%(tot1)%	100	100	20	20	50	50	25	25	10	10	40	5	5	15	15
%(tot2)%	100	100	20	20	50	50	25	25	10	10	40	5	5	15	15
%(tot3)%	100	100	20	20	50	50	25	25	10	10	40	5	5	15	15
%(tot4)%	100	100	20	20	50	50	25	25	10	10	40	5	5	15	15
%(bugTot1)%	nan	N/A	nan	N/A	nan	N/A	nan	N/A	nan	N/A	nan	nan	N/A	nan	N/A
%(bugTot2)%	nan	N/A	nan	N/A	nan	N/A	nan	N/A	nan	N/A	nan	nan	N/A	nan	N/A
%(bugTot3)%	nan	N/A	nan	N/A	nan	N/A	nan	N/A	nan	N/A	nan	nan	N/A	nan	N/A
%(bugTot4)%	nan	N/A	nan	N/A	nan	N/A	nan	N/A	nan	N/A	nan	nan	N/A	nan	N/A
%(bugMsg1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(bugMsg2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(bugMsg3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(bugMsg4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(q1-target-h1)%	To work through question 1, you must first find the number of shapes that are squares.	Para resolver la pregunta 1, primero debes encontrar la cantidad de formas que son cuadrados.	To work through question 1, you must first find the number of shapes that are green.	Para resolver la pregunta 1, primero debe encontrar la cantidad de formas que son verdes.	To work through question 1, you must first find the number of shapes that are yellow.	Para resolver la pregunta 1, primero debes encontrar la cantidad de formas que son amarillas.	To work through question 1, you must first find the number of shapes that are circles.	Para resolver la pregunta 1, primero debe encontrar la cantidad de formas que son círculos.	To work through question 1, you must first find the number of pieces that are red or blue.	Para resolver la pregunta 1, primero debe encontrar la cantidad de piezas que son rojas o azules.	To work through question 1, you must first find the number of shapes that are not yellow.	To work through question 1, you must first find the number of shapes that are squares.	Para resolver la pregunta 1, primero debes encontrar la cantidad de formas que son cuadrados.	To work through question 1, you must first find the number of shapes that are blue circles.	Para resolver la pregunta 1, primero debes encontrar la cantidad de formas que son círculos azules.
%(q1-target-h2)%	How many shapes are squares?	¿Cuántas formas son cuadrados?	How many shapes are green?	¿Cuántas formas son verdes?	How many shapes are yellow?	¿Cuántas formas son amarillas?	How many shapes are circles?	¿Cuántas formas tienen círculos?	How many pieces are red or blue?	¿Cuántas piezas son rojas o azules?	How many shapes are not yellow?	How many shapes are squares?	¿Cuántas formas son cuadrados?	How many shapes are blue circles?	¿Cuántas formas tienen círculos azules?
%(q2-target-h1)%	To work through question 2, you must first find the number of shapes that are purple.	Para resolver la pregunta 2, primero debes encontrar la cantidad de formas que son de color púrpura.	To work through question 2, you must first find the number of shapes that are yellow.	Para resolver la pregunta 2, primero debe encontrar la cantidad de formas que son amarillas.	To work through question 2, you must first find the number of shapes that are circles.	Para trabajar con la pregunta 2, primero debes encontrar la cantidad de formas que son círculos.	To work through question 2, you must first find the number of shapes that are yellow.	Para resolver la pregunta 2, primero debe encontrar la cantidad de formas que son amarillas.	To work through question 2, you must first find the number of pieces that are not purple.	Para resolver la pregunta 2, primero debe encontrar la cantidad de piezas que no son moradas.	To work through question 2, you must first find the number of shapes that are red circles.	To work through question 2, you must first find the number of shapes that are purple.	Para resolver la pregunta 2, primero debes encontrar la cantidad de formas que son de color púrpura.	To work through question 2, you must first find the number of shapes that are yellow or green.	Para resolver la pregunta 2, primero debe encontrar la cantidad de formas que son amarillas o verdes.
%(q2-target-h2)%	How many shapes are purple?	¿Cuántas formas son moradas?	How many shapes are yellow?	¿Cuántas formas son amarillas?	How many shapes are circles?	¿Cuántas formas tienen círculos?	How many shapes are yellow?	¿Cuántas formas son amarillas?	How many pieces are not purple?	¿Cuántas piezas no son moradas?	How many shapes are red circles?	How many shapes are purple?	¿Cuántas formas son moradas?	How many shapes are yellow or green?	¿Cuántas formas son amarillas o verdes?
%(q3-target-h1)%	To work through question 3, you must first find the number of shapes that are not blue.	Para resolver la pregunta 3, primero debe encontrar la cantidad de formas que no son azules.	To work through question 3, you must first find the number of shapes that are blue.	Para resolver la pregunta 3, primero debes encontrar la cantidad de formas que son azules.	To work through question 3, you must first find the number of shapes that are not yellow.	Para resolver la pregunta 3, primero debe encontrar la cantidad de formas que no son amarillas.	To work through question 3, you must first find the number of shapes that are green or blue.	Para resolver la pregunta 3, primero debes encontrar la cantidad de formas que son verdes o azules.	To work through question 3, you must first find the number of pieces that are squares.	Para resolver la pregunta 3, primero debes encontrar el número de piezas que son cuadrados.	To work through question 3, you must first find the number of shapes that are purple.	To work through question 3, you must first find the number of shapes that are yellow or blue.	Para resolver la pregunta 3, primero debe encontrar la cantidad de formas que son amarillas o azules.	To work through question 3, you must first find the number of shapes that are not purple.	Para resolver la pregunta 3, primero debe encontrar la cantidad de formas que no son moradas.
%(q3-target-h2)%	How many shapes are not blue?	¿Cuántas formas no son azules?	How many shapes are blue?	¿Cuántas formas son azules?	How many shapes are not yellow?	¿Cuántas formas no son amarillas?	How many shapes are green or blue?	¿Cuántas formas son verdes o azules?	How many pieces are squares?	¿Cuántas piezas son cuadrados?	How many shapes are purple?	How many shapes are yellow or blue?	¿Cuántas formas son amarillas o azules?	How many shapes are not purple?	¿Cuántas formas no son moradas?
%(q4-target-h1)%	To work through question 4, you must first find the number of shapes that are red.	Para resolver la pregunta 4, primero debe encontrar la cantidad de formas que son rojas.	To work through question 4, you must first find the number of shapes that are not blue.	Para resolver la pregunta 4, primero debes encontrar la cantidad de formas que no son azules.	To work through question 4, you must first find the number of shapes that are blue or red.	Para resolver la pregunta 4, primero debe encontrar la cantidad de formas que son azules o rojas.	To work through question 4, you must first find the number of shapes that are squares.	Para resolver la pregunta 4, primero debes encontrar la cantidad de formas que son cuadrados.	To work through question 4, you must first find the number of pieces that are blue squares.	Para resolver la pregunta 4, primero debes encontrar la cantidad de piezas que son cuadrados azules.	To work through question 4, you must first find the number of shapes that are not red.	To work through question 4, you must first find the number of shapes that are circles.	Para resolver la pregunta 4, primero debes encontrar la cantidad de formas que son círculos.	To work through question 4, you must first find the number of shapes that are squares.	Para resolver la pregunta 4, primero debes encontrar la cantidad de formas que son cuadrados.
%(q4-target-h2)%	How many shapes are red?	¿Cuántas formas son rojas?	How many shapes are not blue?	¿Cuántas formas no son azules?	How many shapes are blue or red?	¿Cuántas formas son azules o rojas?	How many shapes are squares?	¿Cuántas formas son cuadrados?	How many pieces are blue squares?	¿Cuántas piezas son cuadrados azules?	How many shapes are not red?	How many shapes are circles?	¿Cuántas formas tienen círculos?	How many shapes are squares?	¿Cuántas formas son cuadrados?
%(total-h1)%	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of pieces in the picture.	El siguiente paso es averiguar el número total de piezas en la imagen.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.
%(total-h2)%	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of pieces shown?	¿Cuál es el número total de piezas que se muestran?	What is the total number of shapes shown?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?
%(q1-tot-h1)%	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of pieces in the picture.	El siguiente paso es averiguar el número total de piezas en la imagen.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.
%(q1-tot-h2)%	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of pieces shown?	¿Cuál es el número total de piezas que se muestran?	What is the total number of shapes shown?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?
%(q2-tot-h1)%	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of pieces in the picture.	El siguiente paso es averiguar el número total de piezas en la imagen.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.
%(q2-tot-h2)%	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of pieces shown?	¿Cuál es el número total de piezas que se muestran?	What is the total number of shapes shown?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?
%(q3-tot-h1)%	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of pieces in the picture.	El siguiente paso es averiguar el número total de piezas en la imagen.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.
%(q3-tot-h2)%	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of pieces shown?	¿Cuál es el número total de piezas que se muestran?	What is the total number of shapes shown?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?
%(q4-tot-h1)%	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of pieces in the picture.	El siguiente paso es averiguar el número total de piezas en la imagen.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.	The next step is to figure out the total number of shapes in the picture.	El siguiente paso es averiguar el número total de formas en la imagen.
%(q4-tot-h2)%	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of pieces shown?	¿Cuál es el número total de piezas que se muestran?	What is the total number of shapes shown?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?	What is the total number of shapes shown?	¿Cuál es el número total de formas que se muestran?
%(unred-h1)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	La proporción no reducida es una fracción que representa el número objetivo de artículos dividido por el número total de artículos.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	La proporción no reducida es una fracción que representa el número objetivo de artículos dividido por el número total de artículos.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	La proporción no reducida es una fracción que representa el número objetivo de artículos dividido por el número total de artículos.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	La proporción no reducida es una fracción que representa el número objetivo de artículos dividido por el número total de artículos.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	La proporción no reducida es una fracción que representa el número objetivo de artículos dividido por el número total de artículos.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	La proporción no reducida es una fracción que representa el número objetivo de artículos dividido por el número total de artículos.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	La proporción no reducida es una fracción que representa el número objetivo de artículos dividido por el número total de artículos.
%(unred-h2)%	Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.	Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.	Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.	Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.	Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.	Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.	Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.	Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.	Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.	Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.	Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.	Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.	Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.	Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.
%(q1-ratio100-h1)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 100/100 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 100/100 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 1/20 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 1/20 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 5/50 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 5/50 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 10/25 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 10/25 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 7/10 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 7/10 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 38/40 to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 2/5 to 100.	Si la relación de 100 es 65/100, el porcentaje es su numerador, 65.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 3/15 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 3/15 en 100.
%(q1-ratio100-h2)%	Do you know how to find an equivalent fraction of 100/100 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 100/100 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 1/20 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 1/20 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 5/50 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 5/50 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 10/25 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 10/25 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 7/10 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 7/10 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 38/40 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	Do you know how to find an equivalent fraction of 2/5 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 2/5 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 3/15 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 3/15 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?
