Problem Name	IntroProblem	IntroProblemESP	Problem1	Problem1ESP	Problem2	Problem2ESP	Problem3	Problem3ESP	Problem5	Problem5ESP	Problem6	Problem6ESP	Problem7	Problem7ESP	Problem8	Problem8ESP	Problem9	Problem9ESP	Problem10	Problem10ESP	Problem11	Problem11ESP	Problem12	Problem12ESP	Problem13	Problem13ESP	Problem14	Problem14ESP	Problem15	Problem15ESP	Problem16	Problem16ESP	Problem17	Problem17ESP	Problem18	Problem18ESP	Problem19	Problem19ESP	Problem20	Problem20ESP	Problem21	Problem21ESP	Problem22	Problem22ESP	Problem23	Problem23ESP	Problem24	Problem24ESP
%(A1)%	pictures is	fotos es	participants is	Los participantes es	miles is	millas es	square feet of installed carpeting is	pies cuadrados de alfombra instalada es	pages is	páginas es	minutes represents	minutos representa	dollars is 	¿Qué porcentaje del precio original le devolvió la tienda a Jane? Si no está seguro, consulte el área de resolución de proporciones opcional.	people is	la gente es	winning viewers is	ganar espectadores es	American gold medalists is	Medallistas de oro estadounidenses es	hours is	horas es	square feet of wrapping paper is	pies cuadrados de papel de regalo es	minutes is	minutos es	yawns is	bostezos es	dollars is	dólares es	citizens is	los ciudadanos es	adults is	Los adultos es	students is	los estudiantes es	dollars is	dólares es	dollars is	dólares es	sales is	las ventas son	problems is	problemas es	points is	puntos es	dollars is	dólares es
%(A2)%	of the 	fotos es	of	de	of the	del	of	de	of	de	of the 	de El	of	de	of 	la gente es	of the 	de El	of the 	de El	of the 	de El	of the total	del total	of the 	de El	out of 	bostezos es	of	de	of the 	de El	of the 	de El	of the	del	of 	de	of 	de	of	de	of the	del	of the total	del total	of	de
%(A3)%	senior pictures.	fotografìas senior	citizens of Tucson.	Ciudadanos de Tucson.	miles to be flown.	millas por volar.	square feet.	pies cuadrados.	pages in the book.	páginas del libro.	-minute program.	Programa de minutos.	dollars.	dolares.	people.	gente.	total viewers in the tri-state area.	espectadores totales en el área tri-estatal.	total gold medalists.	medallistas de oro totales.	-hour shift	- turno de hora	square feet roll of wrapping paper.	Rollo de papel de regalo de pies cuadrados.	minute movie.	película de minutos.	total yawns.	bostezos totales.	dollars.	dolares.	citizens that were polled.	Ciudadanos que fueron encuestados.	adults that were polled.	Adultos que fueron encuestados.	students in the school.	Alumnos en la escuela.	dollars.	dolares.	dollars.	dolares.	customers contacted.	Clientes contactados.	math problems.	problemas de matematicas.	points.	puntos.	dollars.	dolares.
%(PartComma)%			16590	16590													1625	1625									2022	2022			1300000	1300000	1980	1980														
%(TotalComma)%			21000	21000	5000	5000											25000	25000									2400	2400	2000	2000	2000000	2000000	6000	6000					1500	1500								
%(Comma)%	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
%(IntermComma)%	3200	3200	1659000	1659000	77500	77500	24300	24300	7200	7200	1500	1500			3600	3600	162500	162500	1000	1000			1800	1800	9100	9100	202200	202200	71000	71000	130000000	130000000	198000	198000	1000	1000	4845	4845	10500	10500	18900	18900	3000	3000	16800	16800		
%(AnsComma)%																																																
%(FactorComma)%																															20000	20000															 	
%(hintMessage_59_please_enter_20_highlighted)%	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.
%(hintMessage_21_please_select_equivalent_fractions)%	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.	Please select 'Equivalent Fractions' from the highlighted menu.	Por favor, seleccione 'Fracciones equivalentes' en el menú resaltado.
%(hintMessage_8_number_senior_pictures_representing)%	What number of the senior pictures are you representing in the denominator of this fraction?	¿Qué número de fotografìas seniors estás representando en el denominador de esta fracción?	Which part of the population are you representing in the denominator of this fraction?	¿Qué parte de la población representas en el denominador de esta fracción?	Which part of the journey are you representing in the denominator of this fraction?	¿Qué parte del viaje representas en el denominador de esta fracción?	What part of the carpet installation are you representing in the denominator of this fraction?	¿Qué parte de la instalación de la alfombra representa en el denominador de esta fracción?	What part of Albert's reading are you representing in the denominator of this fraction?	¿Qué parte de la lectura de Albert estás representando en el denominador de esta fracción?	What part of the radio program are you representing in the denominator of this fraction?	¿Qué parte del programa de radio representas en el denominador de esta fracción?	What part of the order are you representing in the denominator of this fraction?	¿Qué parte del orden estás representando en el denominador de esta fracción?	Which participants in the poll are you representing in the denominator of this fraction?	¿A qué participantes de la encuesta representas en el denominador de esta fracción?	Which viewers are you trying to represent in the denominator of this fraction?	¿Qué espectadores intentas representar en el denominador de esta fracción?	Which gold medalists are you trying to represent in the denominator of this fraction?	¿Qué medallistas de oro estás tratando de representar en el denominador de esta fracción?	Which part of the student's shift are you trying to represent as the denominator of this fraction?	¿Qué parte del turno del estudiante estás tratando de representar como denominador de esta fracción?	Which quantity of the wrapping paper represents the denominator of this fraction?	¿Qué cantidad de papel de regalo representa el denominador de esta fracción?	How many minutes of the movie represents the denominator of this fraction?	¿Cuántos minutos de la película representan el denominador de esta fracción?	What number of yawns represents the denominator of this fraction?	¿Qué número de bostezos representa el denominador de esta fracción?	What part of Joan's salary is represented as the denominator of this fraction?	¿Qué parte del salario de Joan se representa como denominador de esta fracción?	What part of the poll is going to be represented as the denominator of this fraction?	¿Qué parte de la encuesta se representará como denominador de esta fracción?	What part of the survey is going to be represented as the denominator of this fraction?	¿Qué parte de la encuesta se representará como denominador de esta fracción?	What part of the student body is being represented as the denominator of this fraction?	¿Qué parte del alumnado se representa como denominador de esta fracción?	Which price represents the denominator of this fraction?	¿Qué precio representa el denominador de esta fracción?	Which amount is the denominator of this fraction?	¿Qué cantidad es el denominador de esta fracción?	How many people represent the denominator of this fraction?	¿Cuántas personas representan el denominador de esta fracción?	What part of the math problems are you representing as the denominator of this fraction?	¿Qué parte de los problemas de matemáticas representas como denominador de esta fracción?	What part of Alex's score will be represented as the denominator of this fraction?	¿Qué parte de la puntuación de Alex se representará como denominador de esta fracción?	Which value represents the denominator of the fraction?	¿Qué valor representa el denominador de la fracción?
%(hintMessage_17_please_select_cross_multiplication)%	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.	Please select 'Cross Multiplication' from the highlighted menu.	Por favor, seleccione 'Multiplicación cruzada' en el menú resaltado.
%(hintMessage_10_please_select_total_number)%	Please select 'total number of senior pictures' from the highlighted menu.	Seleccione 'número total de fotografías senior' en el menú resaltado.	Please select 'total inhabitants of Tuscon' from the highlighted menu.	Por favor, seleccione 'habitantes totales de Tucson' en el menú resaltado.	Please select 'miles between Los Angeles and New York City' from the highlighted menu.	Por favor, seleccione 'millas entre Los Ángeles y la ciudad de Nueva York' en el menú resaltado.	Please select 'total sq.ft. of carpeting to be installed' from the highlighted menu.	Por favor, seleccione 'pies cuadrados totales. de alfombras a instalar 'en el menú resaltado.	Please select 'total number of pages in the book' from the highlighted menu.	Por favor, seleccione 'número total de páginas en el libro' en el menú resaltado.	Please select 'length of three stories' from the highlighted menu.	Por favor, seleccione 'longitud de tres historias' en el menú resaltado.	Please select 'total cost of the order ($)' from the highlighted menu.	Por favor, seleccione 'costo total del pedido ($)' en el menú resaltado.	Please select 'total number of people in the poll' from the highlighted menu.	Por favor, seleccione 'número total de personas en la encuesta' en el menú resaltado.	Please select 'total number of people in the tri-state area' from the highlighted menu.	Por favor, seleccione 'número total de personas en el área de los tres estados' en el menú resaltado.	Please select 'total number of gold medalists' from the highlighted menu.	Por favor, seleccione 'número total de medallistas de oro' en el menú resaltado.	Please select 'total length of a shift' from the highlighted menu.	Por favor, seleccione 'duración total de un turno' en el menú resaltado.	Please select 'total sq.ft. of wrapping paper' from the highlighted menu.	Por favor, seleccione 'pies cuadrados totales. de papel de regalo 'en el menú resaltado.	Please select 'length of the entire movie' from the highlighted menu.	Por favor, seleccione 'duración de la película completa' en el menú resaltado.	Please select 'total number of yawns observed' from the highlighted menu.	Por favor, seleccione 'número total de bostezos observados' en el menú resaltado.	Please select 'Joan's salary before it was taxed ($)' from the highlighted menu.	Por favor, seleccione 'El salario de Joan antes de que se le aplicaran impuestos ($)' en el menú resaltado.	Please select 'total number of American citizens that were in the poll' from the highlighted menu.	Por favor, seleccione 'número total de ciudadanos estadounidenses que participaron en la encuesta' en el menú resaltado.	Please select 'total number of adults in the survey' from the highlighted menu.	Por favor, seleccione 'número total de adultos en la encuesta' en el menú resaltado.	Please select 'total number of students in the school' from the highlighted menu.	Por favor, seleccione 'número total de estudiantes en la escuela' en el menú resaltado.	Please select 'original price of the jeans ($)' from the highlighted menu.	Por favor, seleccione 'precio original de los jeans ($)' en el menú resaltado.	Please select 'price of the computer not including tax ($)' from the highlighted menu.	Por favor, seleccione 'precio de la computadora sin incluir impuestos ($)' en el menú resaltado.	Please select 'customers who were on the phone with Julie' from the highlighted menu.	Por favor, seleccione 'clientes que estaban hablando por teléfono con Julie' en el menú resaltado.	Please select 'total number of problems' from the highlighted menu.	Por favor, seleccione 'número total de problemas' en el menú resaltado.	Please select 'total number of points' from the highlighted menu.	Por favor, seleccione 'número total de puntos' en el menú resaltado.	Please select 'cost of dinner without tip ($)' from the highlighted menu.	Por favor, seleccione 'costo de la cena sin propina ($)' en el menú resaltado.
%(hintMessage_61_please_select_people_took)%	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.	Please select 'People who took part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que participaron en la actividad' en el menú resaltado.
%(buggyMessage_1_correct)%	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.
%(hintMessage_62_please_enter_2_highlighted)%	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.
%(hintMessage_35_unsure_answer_solve_problem)%	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.	If you are unsure of the answer, solve the problem in the light gray area on the right.	Si no está seguro de la respuesta, resuelva el problema en el área gris claro de la derecha.
%(hintMessage_40_please_click_highlighted_button)%	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.
