Problem Name	00bubble	00bubbleESP	01book	01bookESP	02cheese	02cheeseESP	03chain	03chainESP	04school	04schoolESP	05height	05heightESP	06fence	06fenceESP	07sandwich	07sandwichESP	08swim	08swimESP	09pie	09pieESP	10homework	10homeworkESP	11pizza	11pizzaESP	12charity	12charityESP	13school	13schoolESP	14candy	14candyESP	15sauce	15sauceESP	16chemistry	16chemistryESP	17salad	17saladESP	18prize	18prizeESP	19history	19historyESP
%(ch3)%	Both live the same distance from Ted.	[google]Ambos viven la misma distancia de Ted.	Both have read an equal amount of the novel.	[google]Ambos han leído una cantidad igual de la novela.	Both pieces of cheese weigh the same.	[google]Ambas piezas de queso pesan lo mismo.	Both built the same length of paper chain.	[google]Ambos construyeron la misma longitud de la cadena de papel.	Both live the same distance from the school.	Ambos viven a la misma distancia de la escuela.	Both grew the same amouth.	[google]Ambos crecieron la misma cantidad.	Both painted same amount of fence.	[google]Ambos pintaron la misma cantidad de cerca.	Both ate the same amount of their sandwich.	[google]Ambos comieron la misma cantidad de su sándwich.	Both are equally matched!	[google]¡Ambos están igualmente emparejados!	Both have eaten the same amount of their pies.	Ambos han comido la misma cantidad de pasteles.	Both have completed same amount.	[google]Ambos han completado la misma cantidad.	Both ate the same amount of their pizza.	Ambos comieron la misma cantidad de pizza.	Both ran for the same amount of hours.	[google]Ambos corrieron durante la misma cantidad de horas.	Both live the same distance from the school.	Ambos viven a la misma distancia de la escuela.	Both have the same amount of candy.	[google]Ambos tienen la misma cantidad de dulces.	Both will have same amount of ground beef.	[google]Ambos tendrán la misma cantidad de carne molida.	No; Jason was not right. Both have the same amount of acid.	[google]error	Charlie will like both salads.	[google]error	Both of them were searching for the same amount of time.	Ambos estuvieron buscando por la misma cantidad de tiempo.	Both worked the same amount of time.	[google]error
%(compQuestion)%	Who lives closer to Ted?	[google]¿Quién vive más cerca de Ted?	Who has read less of the novel?	¿Quién ha leído menos de la novela?	Is Katie right?	¿Katie tiene razón?	Who built a longer piece of paper chain?	¿Quién construyó una cadena de papel más larga?	Who lives closer to school?	¿Quién vive más cerca de la escuela?	Who has grown more?	¿Quién ha crecido más?	Who has painted more fence?	¿Quién ha pintado más valla?	Who has eaten more of their sandwich?	¿Quién ha comido más de su sándwich?	Who should the coach pick for the competition?	¿Quién debe elegir la entrenadora para la competencia?	Who has eaten less of their pie?	¿Quién ha comido menos de su pastel?	Is Shannon right?	¿Shannon tiene razón?	Who has eaten more pizza?	¿Quién ha comido más pizza?	Who ran for more hours?	¿Quién corrió por más horas?	Who lives farther from the school?	¿Quién vive más lejos de la escuela?	Who has less candy?	¿Quién tiene menos caramelos?	Which sauce should you choose?	¿Qué salsa elegir?	Was Jason right?	¿Jason tenía razón?	Which Salad should Charlie eat?	¿Qué ensalada debería comer Charlie?	Was Amy searching for less hours?	¿Amy estaba buscando menos horas?	Who was working longer?	¿Quién estuvo trabajando más tiempo?
%(ch-ans)%	Jill lives closer to Ted.	[google]Jill vive más cerca de Ted.	Laura has read less of the novel.	Laura ha leído menos de la novela.	No. Katie is not right. The piece of cheese Franklin brought is heavier.	No. Katie no tiene razón. El trozo de queso que trajo Franklin es más pesado.	Daryl built the longer paper chain.	Daryl construyó la cadena de papel más larga.	Both live the same distance from the school.	Ambos viven a la misma distancia de la escuela.	Nicole grew more.	Nicole creció más.	Kewana painted more fence.	Kewana pintó más valla.	Lamara ate more of his sandwich.	Lamara comió más de su sándwich.	Coach should choose John.	El entrenador debería elegir a John.	Both have eaten the same amount of their pies.	Ambos han comido la misma cantidad de pasteles.	Yes; Jeff was going ahead with the homework.	[google]Sí; Jeff seguía adelante con la tarea.	Both ate the same amount of their pizza.	Ambos comieron la misma cantidad de pizza.	Christin ran more hours.	Christin corrió más horas.	No; Scott is wrong. It is Greg who lives father away.	[google]No; Scott está equivocado. Es Greg quien vive al padre.	Jaime has less candy.	Jaime tiene menos caramelos.	Sauce made by Dale.	Salsa elaborada por Dale.	No; Jason actually has more acid.	[google]No; Jason en realidad tiene más ácido.	Charlie should eat the salad made by Caroline.	Charlie debería comerse la ensalada hecha por Caroline.	Both of them were searching for the same amount of time.	Ambos estuvieron buscando por la misma cantidad de tiempo.	Alicia was working longer.	Alicia trabajaba más.
%(num1)%	-	-	1	1	2	2	5	5	4	4	5	5	2	2	2	2	3	3	3	3	1	1	2	2	8	8	13	13	9	9	10	10	15	15	11	11	3	3	5	5
%(den1)%	3	3	4	4	5	5	6	6	10	10	12	12	3	3	3	3	10	10	4	4	3	3	8	8	7	7	10	10	8	8	9	9	8	8	6	6	2	2	4	4
%(frac1)%	1/3	1/3	1/4	1/4	2/5	2/5	5/6	5/6	4/10	4/10	5/12	5/12	2/3	2/3	2/3	2/3	3/10	3/10	3/4	3/4	1/3	1/3	2/8	2/8	8/7	8/7	13/10	13/10	9/8	9/8	10/9	10/9	15/8	15/8	11/6	11/6	3/2	3/2	5/4	5/4
%(num2)%	-	-	1	1	2	2	4	4	2	2	1	1	4	4	2	2	1	1	6	6	2	2	1	1	8	8	5	5	11	11	-	-	13	13	10	10	6	6	4	4
%(den2)%	5	5	5	5	3	3	5	5	5	5	2	2	7	7	4	4	3	3	8	8	9	9	4	4	8	8	3	3	10	10	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|	7	7	5	5	4	4	5	5
%(frac2)%	1/5	1/5	1/5	1/5	2/3	2/3	4/5	4/5	2/5	2/5	1/2	1/2	4/7	4/7	2/4	2/4	1/3	1/3	6/8	6/8	2/9	2/9	1/4	1/4	8/8	8/8	5/3	5/3	11/10	11/10	1	1	13/7	13/7	10/5	10/5	6/4	6/4	4/5	4/5
%(badFrac1)%	-	-	0/4	0/4	1/5	1/5	4/6	4/6	3/10	3/10	4/12	4/12	1/3	1/3	1/3	1/3	2/10	2/10	2/4	2/4	0/3	0/3	1/8	1/8	7/7	7/7	12/10	12/10	8/8	8/8	9/9	9/9	14/8	14/8	10/6	10/6	2/2	2/2	4/4	4/4
%(badFrac2)%	-	-	0/5	0/5	1/3	1/3	3/5	3/5	1/5	1/5	0/2	0/2	3/7	3/7	1/4	1/4	0/3	0/3	5/8	5/8	1/9	1/9	0/4	0/4	7/8	7/8	4/3	4/3	10/10	10/10	-	-	12/7	12/7	9/5	9/5	5/4	5/4	3/5	3/5
%(Rbound)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
%(comp-h)%	The smaller fraction is placed on the number line for the Block to Jill's house.	[google]La fracción más pequeña se coloca en la línea numérica para el bloque a la casa de Jill.	The smaller fraction is placed on the number line for the Amount Laura read.	La fracción más pequeña se coloca en la recta numérica de la cantidad que leyó Laura.	The larger fraction is placed on the number line for the Weight of Franklin's cheese.	La fracción más grande se coloca en la recta numérica del Peso del queso Franklin.	The larger fraction is placed on the number line for Daryl's paper chain.	La fracción más grande se coloca en la recta numérica de la cadena de papel de Daryl.	The fractions line up; they are equivalent fractions!	Las fracciones se alinean; ¡son fracciones equivalentes!	The larger fraction is placed on the number line for the Nicole's growth.	La fracción más grande se coloca en la recta numérica del crecimiento de Nicole.	The larger fraction is placed on the number line for the Amount Kewana painted.	La fracción más grande se coloca en la recta numérica de la cantidad que pintó Kewana.	The larger fraction is placed on the number line for the Amount Lamara ate.	La fracción más grande se coloca en la recta numérica de la cantidad que comió Lamara.	The larger fraction is placed on the number line for the Mile John swam.	La fracción más grande se coloca en la recta numérica que nadó Mile John.	The fractions line up; they are equivalent fractions!	Las fracciones se alinean; ¡son fracciones equivalentes!	The larger fraction is placed on the number line for the Completion of Jeff's homework.	La fracción más grande se coloca en la recta numérica para completar la tarea de Jeff.	The fractions line up; they are equivalent fractions!	Las fracciones se alinean; ¡son fracciones equivalentes!	The larger fraction is placed on the number line for the Time Christin ran.	La fracción más grande se coloca en la recta numérica del Tiempo que corrió Christin.	The larger fraction is placed on the number line for the Distance Greg travels to school.	La fracción más grande se coloca en la recta numérica de la distancia que viaja Greg a la escuela.	The smaller fraction is placed on the number line for the Pound of Jaime's candy.	La fracción más pequeña se coloca en la recta numérica de la libra de dulces de Jaime.	The larger fraction is placed on the number line for the Pound of Dale's ground beef.	La fracción más grande se coloca en la recta numérica de la carne molida de libra de Dale.	The larger fraction is placed on the number line for the Acid in Jason's flask.	La fracción más grande se coloca en la recta numérica del ácido en el matraz de Jason.	The larger fraction is placed on the number line for the Cantaloupes in Caroline's salad.	La fracción más grande se coloca en la recta numérica de los melones en la ensalada de Caroline.	The fractions line up; they are equivalent fractions!	Las fracciones se alinean; ¡son fracciones equivalentes!	The larger fraction is placed on the number line for the Hours Alicia has been working.	La fracción más grande se coloca en la recta numérica de las horas que Alicia ha estado trabajando.
