Problem Name	Problem 1	Problem 1ESP	Problem 2	Problem 2ESP	Problem 3	Problem 3ESP	Problem 12	Problem 12ESP	Problem 13	Problem 13ESP	Problem 14	Problem 14ESP	Problem 15	Problem 15ESP	Problem 21	Problem 21ESP
%(denom)%	10	10	5	5	4	4	7	7	5	5	10	10	3	3	15	15
																
%(hint11)%	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema
%(hint12)%	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?
%(hint13)%	Please enter '140' in the highlighted field.	Por favor, ingrese '140' en el campo resaltado.	Please enter '72' in the highlighted field.	Por favor, introduzca '72' en el campo resaltado.	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '42' in the highlighted field.	Por favor, ingrese '42' en el campo resaltado.	Please enter '9' in the highlighted field.	Por favor, introduzca '9' en el campo resaltado.	Please enter '45' in the highlighted field.	Por favor, ingrese '45' en el campo resaltado.	Please enter '3652' in the highlighted field.	Por favor, ingrese '3652' en el campo resaltado.	Please enter '187' in the highlighted field.	Por favor, introduzca '187' en el campo resaltado.
																
%(hint21)%	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema
%(hint22)%	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?
%(hint23)%	Please enter '7/10' in the highlighted field.	Por favor, ingrese '7/10' en el campo resaltado.	Please enter '4/5' in the highlighted field.	Por favor, ingrese '4/5' en el campo resaltado.	Please enter '3/4' in the highlighted field.	Por favor, ingrese '3/4' en el campo resaltado.	Please enter '6/7' in the highlighted field.	Por favor, ingrese '6/7' en el campo resaltado.	Please enter '3/5' in the highlighted field.	Por favor, introduzca '3/5' en el campo resaltado.	Please enter '9/10' in the highlighted field.	Por favor, ingrese '9/10' en el campo resaltado.	Please enter '2/3' in the highlighted field.	Por favor, ingrese '2/3' en el campo resaltado.	Please enter '11/15' in the highlighted field.	Por favor, ingrese '11 / 15 'en el campo resaltado.
																
%(hint31)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hint32)%	Try dividing one of the givens by the total number of parts of distance.	Intente dividir uno de los datos dados por el número total de partes de la distancia.	Try dividing one of the givens by the number of parts of his workout already completed.	Intente dividir uno de los datos dados por el número de partes de su entrenamiento que ya completó.	Try dividing one of the givens by the number of parts completed.	Intente dividir uno de los datos dados por el número de partes completadas.	Try dividing one of the givens by the number of parts completed.	Intente dividir uno de los datos dados por el número de partes completadas.	Try dividing one of the givens by the number of parts filled.	Intente dividir uno de los dados por el número de partes llenas.	Try dividing one of the givens by the number of parts completed.	Intente dividir uno de los datos dados por el número de partes completadas.	Try dividing one of the givens by the number of parts completed.	Intente dividir uno de los datos dados por el número de partes completadas.	Try dividing one of the givens by the number of parts of boxes already sold.	Intente dividir uno de los dados por el número de partes de cajas ya vendidas.
%(hint33)%	Please enter '140/7' in the highlighted field.	Por favor, introduzca '140/7' en el campo resaltado.	Please enter '72/4' in the highlighted field.	Por favor, ingrese '72 / 4 'en el campo resaltado.	Please enter '15/3' in the highlighted field.	Por favor, ingrese '15 / 3 'en el campo resaltado.	Please enter '42/6' in the highlighted field.	Por favor, ingrese '42 / 6 'en el campo resaltado.	Please enter '9/3' in the highlighted field.	Por favor, ingrese '9/3' en el campo resaltado.	Please enter '45/9' in the highlighted field.	Por favor, ingrese '45 / 9 'en el campo resaltado.	Please enter '3652/2' in the highlighted field.	Por favor, ingrese '3652/2' en el campo resaltado.	Please enter '187/11' in the highlighted field.	Por favor, ingrese '187/11' en el campo resaltado.
																
%(hint41)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hint42)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hint43)%	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '18' in the highlighted field.	Por favor, ingrese '18' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '7' in the highlighted field.	Por favor, ingrese '7' en el campo resaltado.	Please enter '3' in the highlighted field.	Por favor, ingrese '3' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '1826' in the highlighted field.	"¿Qué número le dio el paso ""mostrar su trabajo""?"	Please enter '17' in the highlighted field.	Por favor, ingrese '17' en el campo resaltado.
																
%(hint51)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hint52)%	Try multiplying your previous answer by the number of parts already driven.	Intente multiplicar su respuesta anterior por el número de partes ya manejadas.	Try multiplying your previous answer by the number of total parts of his workout.	Intente multiplicar su respuesta anterior por el número total de partes de su entrenamiento.	Try multiplying your previous answer by 4.	Intente multiplicar su respuesta anterior por 4.	Try multiplying your previous answer by 7.	Intente multiplicar su respuesta anterior por 7.	Try multiplying your previous answer by 5.	Intente multiplicar su respuesta anterior por 5.	Try multiplying your previous answer by 10.	Intente multiplicar su respuesta anterior por 10.	Try multiplying your previous answer by 3.	Intente multiplicar su respuesta anterior por 3.	Try multiplying your previous answer by the total number of parts into which the boxes of cookies have been divided.	Intente multiplicar su respuesta anterior por el número total de partes en las que se han dividido las cajas de galletas.
%(hint53)%	Please enter '20*10' in the highlighted field.	Por favor, ingrese '20 * 10 'en el campo resaltado.	Please enter '18*5' in the highlighted field.	Por favor, ingrese '18 * 5 'en el campo resaltado.	Please enter '5*4' in the highlighted field.	Por favor, ingrese '5 * 4' en el campo resaltado.	Please enter '7*7' in the highlighted field.	Por favor, ingrese '7*7' en el campo resaltado.	Please enter '3*5' in the highlighted field.	Por favor, ingrese '3 * 5' en el campo resaltado.	Please enter '5*10' in the highlighted field.	Por favor, ingrese '5*10' en el campo resaltado.	Please enter '1826*3' in the highlighted field.	Por favor, ingrese '1826 * 3' en el campo resaltado.	Please enter '17*15' in the highlighted field.	Por favor, ingrese '17 * 15 'en el campo resaltado.
																
%(hint61)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hint62)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hint63)%	Please enter '200' in the highlighted field.	Por favor, ingrese '200' en el campo resaltado.	Please enter '90' in the highlighted field.	Por favor, ingrese '90' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '49' in the highlighted field.	Por favor, introduzca '49' en el campo resaltado.	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '50' in the highlighted field.	Por favor, ingrese '50' en el campo resaltado.	Please enter '5478' in the highlighted field.	Por favor, ingrese '5478' en el campo resaltado.	Please enter '255' in the highlighted field.	Por favor, introduzca '255' en el campo resaltado.
																
%(hint71)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hint72)%	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.
%(hint73)%	Please enter '200-140' in the highlighted field.	Por favor, ingrese '200-140' en el campo resaltado.	Please enter '90-72' in the highlighted field.	Por favor, ingrese '90-72 'en el campo resaltado.	Please enter '20-15' in the highlighted field.	Por favor, introduzca '20-15 'en el campo resaltado.	Please enter '49-42' in the highlighted field.	Por favor, ingrese '49-42 'en el campo resaltado.	Please enter '15-9' in the highlighted field.	Por favor, ingrese '15 -9 'en el campo resaltado.	Please enter '50-45' in the highlighted field.	Por favor, ingrese '50-45 'en el campo resaltado.	Please enter '5478-3652' in the highlighted field.	Por favor, ingrese '5478-3652' en el campo resaltado.	Please enter '255-187' in the highlighted field.	Por favor, ingrese '255-187' en el campo resaltado.
																
%(hint81)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hint82)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hint83)%	Please enter '60' in the highlighted field.	Por favor, ingrese '60' en el campo resaltado.	Please enter '18' in the highlighted field.	Por favor, ingrese '18' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '7' in the highlighted field.	Por favor, ingrese '7' en el campo resaltado.	Please enter '6' in the highlighted field.	Por favor, ingrese '6' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '1826' in the highlighted field.	"¿Qué número le dio el paso ""mostrar su trabajo""?"	Please enter '68' in the highlighted field.	Por favor ingrese '68' en el campo resaltado.
																
%(expression1)%	140/7	140/7	72/4	72/4	15/3	15/3	42/6	42/6	9/3	9/3	45/9	45/9	3652/2	3652/2	187/11	187/11
%(expression2)%	20*10	20*10	18*5	18*5	5*4	5*4	7*7	7*7	3*5	3*5	5*10	5*10	1826*3	1826*3	17*15	17*15
%(expression3)%	200-140	200-140	90-72	90-72	20-15	20-15	49-42	49-42	15-9	15-9	50-45	50-45	5478-3652	5478-3652	255-187	255-187
%(value1)%	20	20	18	18	5	5	7	7	3	3	5	5	1826	1826	17	17
%(value2)%	200	200	90	90	20	20	49	49	15	15	50	50	5472	5472	255	255
%(value3)%	60	60	18	18	5	5	7	7	6	6	5	5	1826	1826	68	68
																
%(given_skill1)%	Enter_given_part	Ingrese_la_parte_dada	Enter_given_part	Ingrese_la_parte_dada	Enter_given_part	Ingrese_la_parte_dada	Enter_given_part	Ingrese_la_parte_dada	Enter_given_part	Ingrese_la_parte_dada	Enter_given_part	Ingrese_la_parte_dada	Enter_given_part	Ingrese_la_parte_dada	Enter_given_part	Ingrese_la_parte_dada
%(given_skill2)%	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada
%(show_work_skill1)%	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte
%(answer_skill1)%	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte
%(show_work_skill2)%	Write_expression_for_total	Escribe_la_expresión_para_el_total	Write_expression_for_total	Escribe_la_expresión_para_el_total	Write_expression_for_total	Escribe_la_expresión_para_el_total	Write_expression_for_total	Escribe_la_expresión_para_el_total	Write_expression_for_total	Escribe_la_expresión_para_el_total	Write_expression_for_total	Escribe_la_expresión_para_el_total	Write_expression_for_total	Escribe_la_expresión_para_el_total	Write_expression_for_total	Escribe_la_expresión_para_el_total
%(answer_skill2)%	Solve_for_total	Resolver_para_total	Solve_for_total	Resolver_para_total	Solve_for_total	Resolver_para_total	Solve_for_total	Resolver_para_total	Solve_for_total	Resolver_para_total	Solve_for_total	Resolver_para_total	Solve_for_total	Resolver_para_total	Solve_for_total	Resolver_para_total
%(show_work_skill3)%	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante
%(answer_skill3)%	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante
																
%(given_skill1_shown)%	Enter given part	Ingrese la parte dada	Enter given part	Ingrese la parte dada	Enter given part	Ingrese la parte dada	Enter given part	Ingrese la parte dada	Enter given part	Ingrese la parte dada	Enter given part	Ingrese la parte dada	Enter given part	Ingrese la parte dada	Enter given part	Ingrese la parte dada
%(given_skill2_shown)%	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada
%(show_work_skill1_shown)%	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte
