Problem Name	Problem 8	Problem 8ESP	Problem 9	Problem 9ESP	Problem 10	Problem 10ESP	Problem 11	Problem 11ESP	Problem 16	Problem 16ESP	Problem 17	Problem 17ESP	Problem 18	Problem 18ESP	Problem 19	Problem 19ESP	Problem 20	Problem 20ESP
%(hint13)%	Please enter '6' in the highlighted field.	Por favor, ingrese '6' en el campo resaltado.	Please enter '27' in the highlighted field.	[CTAT]NAN	Please enter '720' in the highlighted field.	[CTAT]NAN	Please enter '45' in the highlighted field.	Por favor, ingrese '45' en el campo resaltado.	Please enter '25' in the highlighted field.	[CTAT]NAN	Please enter '120' in the highlighted field.	[CTAT]NAN	Please enter '32' in the highlighted field.	[CTAT]NAN	Please enter '400' in the highlighted field.	Por favor, introduzca '400' en el campo resaltado.	Please enter '60' in the highlighted field.	Por favor, ingrese '60' en el campo resaltado.
																		
%(hint21)%	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema
%(hint22)%	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?
%(hint23)%	Please enter '2/3' in the highlighted field.	Por favor, ingrese '2/3' en el campo resaltado.	Please enter '5/9' in the highlighted field.	[CTAT]NAN	Please enter '5/8' in the highlighted field.	[CTAT]NAN	Please enter '2/3' in the highlighted field.	Por favor, ingrese '2/3' en el campo resaltado.	Please enter '4/5' in the highlighted field.	Por favor, ingrese '4/5' en el campo resaltado.	Please enter '5/6' in the highlighted field.	[CTAT]NAN	Please enter '5/8' in the highlighted field.	[CTAT]NAN	Please enter '15/16' in the highlighted field.	[CTAT]NAN	Please enter '3/10' in the highlighted field.	[CTAT]NAN
																		
%(hint31)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hint32)%	Try dividing one of the givens by 3.	Intente dividir uno de los datos dados por 3.	Try dividing one of the givens by the total number of parts of the other given.	[CTAT]NAN	Try dividing one of the givens by the total number of parts of the other given.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the fence has been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the points have been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the pounds of food have been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the length of the drill has been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the copies have been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the brownies have been divided.	[CTAT]NAN
%(hint33)%	Please enter '6/3' in the highlighted field.	Por favor, ingrese '6/3' en el campo resaltado.	Please enter '27/9' in the highlighted field.	[CTAT]NAN	Please enter '720/8' in the highlighted field.	[CTAT]NAN	Please enter '45/3' in the highlighted field.	[CTAT]NAN	Please enter '25/5' in the highlighted field.	[CTAT]NAN	Please enter '120/6' in the highlighted field.	[CTAT]NAN	Please enter '32/8' in the highlighted field.	[CTAT]NAN	Please enter '400/16' in the highlighted field.	[CTAT]NAN	Please enter '60/10' in the highlighted field.	[CTAT]NAN
																		
%(hint41)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hint42)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hint43)%	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '3' in the highlighted field.	Por favor, ingrese '3' en el campo resaltado.	Please enter '90' in the highlighted field.	Por favor, ingrese '90' en el campo resaltado.	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '4' in the highlighted field.	Por favor, ingrese '4' en el campo resaltado.	Please enter '25' in the highlighted field.	[CTAT]NAN	Please enter '6' in the highlighted field.	Por favor, ingrese '6' en el campo resaltado.
																		
%(hint51)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hint52)%	Try multiplying your previous answer by the number of parts of the ride that Amy has completed.	Intente multiplicar su respuesta anterior por la cantidad de partes del viaje que Amy ha completado.	Try multiplying your previous answer by the number of parts of the problems completed.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of water already in the pool.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of the fence already painted.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of points already scored.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of pounds already eaten.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of minutes already completed.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of copies already made.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of brownies already made.	[CTAT]NAN
%(hint53)%	Please enter '2*2 in the highlighted field.	Por favor, ingrese '2 * 2 en el campo resaltado.	Please enter '5*3' in the highlighted field.	[CTAT]NAN	Please enter '90*5' in the highlighted field.	[CTAT]NAN	Please enter '15*2' in the highlighted field.	[CTAT]NAN	Please enter '5*4' in the highlighted field.	Por favor, ingrese '5 * 4' en el campo resaltado.	Please enter '20*5' in the highlighted field.	[CTAT]NAN	Please enter '4*5' in the highlighted field.	[CTAT]NAN	Please enter '25*15' in the highlighted field.	[CTAT]NAN	Please enter '6*3' in the highlighted field.	[CTAT]NAN
																		
%(hint61)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hint62)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hint63)%	Please enter '4' in the highlighted field.	Por favor, ingrese '4' en el campo resaltado.	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '450' in the highlighted field.	[CTAT]NAN	Please enter '30' in the highlighted field.	[CTAT]NAN	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '100' in the highlighted field.	[CTAT]NAN	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '375' in the highlighted field.	Por favor, ingrese '375' en el campo resaltado.	Please enter '18' in the highlighted field.	Por favor, ingrese '18' en el campo resaltado.
																		
%(hint71)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hint72)%	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting one of the givens and  your previous answer.	[CTAT]NAN	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.
%(hint73)%	Please enter '6-4' in the highlighted field.	Por favor, ingrese '6-4' en el campo resaltado.	Please enter '27-15' in the highlighted field.	[CTAT]NAN	Please enter '720-450' in the highlighted field.	[CTAT]NAN	Please enter '45-30' in the highlighted field.	[CTAT]NAN	Please enter '25-20' in the highlighted field.	[CTAT]NAN	Please enter '120-100' in the highlighted field.	[CTAT]NAN	Please enter '32-20' in the highlighted field.	[CTAT]NAN	Please enter '400-375' in the highlighted field.	[CTAT]NAN	Please enter '60-18' in the highlighted field.	[CTAT]NAN
																		
%(hint81)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hint82)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hint83)%	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '12' in the highlighted field.	[CTAT]NAN	Please enter '270' in the highlighted field.	[CTAT]NAN	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '12' in the highlighted field.	[CTAT]NAN	Please enter '25' in the highlighted field.	[CTAT]NAN	Please enter '42' in the highlighted field.	Por favor, ingrese '42' en el campo resaltado.
																		
%(show_work5)%	6-4	6-4	27-15	[CTAT]NAN	720-450	[CTAT]NAN	45-30	[CTAT]NAN	25-20	[CTAT]NAN	120-100	[CTAT]NAN	32-20	[CTAT]NAN	400-375	[CTAT]NAN	60-18	[CTAT]NAN
%(answer5)%	2	2	12	12	270	270	15	15	5	5	20	20	12	12	25	25	42	42
																		
%(given_skill1)%	Enter_given_total	Ingrese_el_total_dado	Enter_given_total	Ingrese_el_total_dado	Enter_given_total	Ingrese_el_total_dado	Enter_given_total	Ingrese_el_total_dado	Enter_given_total	Ingrese_el_total_dado	Enter_given_total	Ingrese_el_total_dado	Enter_given_total	Ingrese_el_total_dado	Enter_given_total	Ingrese_el_total_dado	Enter_given_total	Ingrese_el_total_dado
%(given_skill2)%	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada	Enter_given_ratio	Ingrese_la_proporción_dada
%(show_work_skill1)%	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte	Write_expression_for_one_part	Escribe_la_expresión_de_una_parte
%(answer_skill1)%	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte	Solve_for_one_part	Resuelve_para_una_parte
%(show_work_skill2)%	Write_expression_for_part	Escribir_expresión_para_parte	Write_expression_for_part	Escribir_expresión_para_parte	Write_expression_for_part	Escribir_expresión_para_parte	Write_expression_for_part	Escribir_expresión_para_parte	Write_expression_for_part	Escribir_expresión_para_parte	Write_expression_for_part	Escribir_expresión_para_parte	Write_expression_for_part	Escribir_expresión_para_parte	Write_expression_for_part	Escribir_expresión_para_parte	Write_expression_for_part	Escribir_expresión_para_parte
%(answer_skill2)%	Solve_for_part	Resolver_por_parte	Solve_for_part	Resolver_por_parte	Solve_for_part	Resolver_por_parte	Solve_for_part	Resolver_por_parte	Solve_for_part	Resolver_por_parte	Solve_for_part	Resolver_por_parte	Solve_for_part	Resolver_por_parte	Solve_for_part	Resolver_por_parte	Solve_for_part	Resolver_por_parte
%(show_work_skill3)%	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante	Write_expression_for_remaining	Escribir_expresión_para_restante
%(answer_skill3)%	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante	Solve_for_remaining	Resolver_para_restante
																		
%(given_skill1_shown)%	Enter given total	Ingrese el total dado	Enter given total	Ingrese el total dado	Enter given total	Ingrese el total dado	Enter given total	Ingrese el total dado	Enter given total	Ingrese el total dado	Enter given total	Ingrese el total dado	Enter given total	Ingrese el total dado	Enter given total	Ingrese el total dado	Enter given total	Ingrese el total dado
%(given_skill2_shown)%	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada	Enter given ratio	Ingrese la proporción dada
%(show_work_skill1_shown)%	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte	Show work for part	Mostrar trabajo por parte
%(answer_skill1_shown)%	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte
%(show_work_skill2_shown)%	Show work for given part	Mostrar trabajo para una parte determinada	Show work for given part	Mostrar trabajo para una parte determinada	Show work for given part	Mostrar trabajo para una parte determinada	Show work for given part	Mostrar trabajo para una parte determinada	Show work for given part	Mostrar trabajo para una parte determinada	Show work for given part	Mostrar trabajo para una parte determinada	Show work for given part	Mostrar trabajo para una parte determinada	Show work for given part	Mostrar trabajo para una parte determinada	Show work for given part	Mostrar trabajo para una parte determinada
