Problem Name	Problem 8	Problem 9	Problem 10	Problem 11	Problem 16	Problem 17	Problem 18	Problem 19	Problem 20
%(hint31)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(hint32)%	Try dividing one of the givens by 3.	Try dividing one of the givens by the total number of parts of the other given.	Try dividing one of the givens by the total number of parts of the other given.	Try dividing one of the givens by the total number of parts into which the fence has been divided.	Try dividing one of the givens by the total number of parts into which the points have been divided.	Try dividing one of the givens by the total number of parts into which the pounds of food have been divided.	Try dividing one of the givens by the total number of parts into which the length of the drill has been divided.	Try dividing one of the givens by the total number of parts into which the copies have been divided.	Try dividing one of the givens by the total number of parts into which the brownies have been divided.
%(hint33)%	Please enter '6/3' in the highlighted field.	Please enter '27/9' in the highlighted field.	Please enter '720/8' in the highlighted field.	Please enter '45/3' in the highlighted field.	Please enter '25/5' in the highlighted field.	Please enter '120/6' in the highlighted field.	Please enter '32/8' in the highlighted field.	Please enter '400/16' in the highlighted field.	Please enter '60/10' in the highlighted field.
									
%(hint41)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(hint42)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(hint43)%	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '6' in the highlighted field.
									
%(hint51)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(hint52)%	Try multiplying your previous answer by the number of parts of the ride that Amy has completed.	Try multiplying your previous answer by the number of parts of the problems completed.	Try multiplying your previous answer by the number of parts of water already in the pool.	Try multiplying your previous answer by the number of parts of the fence already painted.	Try multiplying your previous answer by the number of parts of points already scored.	Try multiplying your previous answer by the number of parts of pounds already eaten.	Try multiplying your previous answer by the number of parts of minutes already completed.	Try multiplying your previous answer by the number of parts of copies already made.	Try multiplying your previous answer by the number of parts of brownies already made.
%(hint53)%	Please enter '2*2 in the highlighted field.	Please enter '5*3' in the highlighted field.	Please enter '90*5' in the highlighted field.	Please enter '15*2' in the highlighted field.	Please enter '5*4' in the highlighted field.	Please enter '20*5' in the highlighted field.	Please enter '4*5' in the highlighted field.	Please enter '25*15' in the highlighted field.	Please enter '6*3' in the highlighted field.
									
%(hint61)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(hint62)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(hint63)%	Please enter '4' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '450' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '375' in the highlighted field.	Please enter '18' in the highlighted field.
									
%(hint71)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(hint72)%	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting one of the givens and  your previous answer.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.
%(hint73)%	Please enter '6-4' in the highlighted field.	Please enter '27-15' in the highlighted field.	Please enter '720-450' in the highlighted field.	Please enter '45-30' in the highlighted field.	Please enter '25-20' in the highlighted field.	Please enter '120-100' in the highlighted field.	Please enter '32-20' in the highlighted field.	Please enter '400-375' in the highlighted field.	Please enter '60-18' in the highlighted field.
									
%(hint81)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(hint82)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(hint83)%	Please enter '2' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '270' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '42' in the highlighted field.
									
%(show_work5)%	6-4	27-15	720-450	45-30	25-20	120-100	32-20	400-375	60-18
%(answer5)%	2	12	270	15	5	20	12	25	42
									
%(given_skill1)%	Enter_given_total	Enter_given_total	Enter_given_total	Enter_given_total	Enter_given_total	Enter_given_total	Enter_given_total	Enter_given_total	Enter_given_total
%(given_skill2)%	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio
%(show_work_skill1)%	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part
%(answer_skill1)%	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part
%(show_work_skill2)%	Write_expression_for_part	Write_expression_for_part	Write_expression_for_part	Write_expression_for_part	Write_expression_for_part	Write_expression_for_part	Write_expression_for_part	Write_expression_for_part	Write_expression_for_part
%(answer_skill2)%	Solve_for_part	Solve_for_part	Solve_for_part	Solve_for_part	Solve_for_part	Solve_for_part	Solve_for_part	Solve_for_part	Solve_for_part
%(show_work_skill3)%	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining
%(answer_skill3)%	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining
									
%(given_skill1_shown)%	Enter given total	Enter given total	Enter given total	Enter given total	Enter given total	Enter given total	Enter given total	Enter given total	Enter given total
%(given_skill2_shown)%	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio
%(show_work_skill1_shown)%	Show work for part	Show work for part	Show work for part	Show work for part	Show work for part	Show work for part	Show work for part	Show work for part	Show work for part
%(answer_skill1_shown)%	Solve for part	Solve for part	Solve for part	Solve for part	Solve for part	Solve for part	Solve for part	Solve for part	Solve for part
%(show_work_skill2_shown)%	Show work for given part	Show work for given part	Show work for given part	Show work for given part	Show work for given part	Show work for given part	Show work for given part	Show work for given part	Show work for given part
%(answer_skill2_shown)%	Solve for given part	Solve for given part	Solve for given part	Solve for given part	Solve for given part	Solve for given part	Solve for given part	Solve for given part	Solve for given part
%(show_work_skill3_shown)%	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part
%(answer_skill3_shown)%	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part 
%(hintMessage_20_try_subtracting_previous_answer)%	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting one of the givens and  your previous answer.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.	Try subtracting your previous answer from one of the givens.
%(hintMessage_6_please_enter_23_highlighted)%	Please enter '2/3' in the highlighted field.	Please enter '5/9' in the highlighted field.	Please enter '5/8' in the highlighted field.	Please enter '2/3' in the highlighted field.	Please enter '4/5' in the highlighted field.	Please enter '5/6' in the highlighted field.	Please enter '5/8' in the highlighted field.	Please enter '15/16' in the highlighted field.	Please enter '3/10' in the highlighted field.
%(buggyMessage_1_correct)%	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.
%(hintMessage_17_number_show_work_step)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(hintMessage_11_number_show_work_step)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(hintMessage_22_whats_answer_mathematical_expression)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(hintMessage_21_please_enter_64_highlighted)%	Please enter '6-4' in the highlighted field.	Please enter '27-15' in the highlighted field.	Please enter '720-450' in the highlighted field.	Please enter '45-30' in the highlighted field.	Please enter '25-20' in the highlighted field.	Please enter '120-100' in the highlighted field.	Please enter '32-20' in the highlighted field.	Please enter '400-375' in the highlighted field.	Please enter '60-18' in the highlighted field.
%(hintMessage_12_please_enter_2_highlighted)%	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '6' in the highlighted field.
%(hintMessage_16_whats_answer_mathematical_expression)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(hintMessage_15_please_enter_22_highlighted)%	Please enter '2*2 in the highlighted field.	Please enter '5*3' in the highlighted field.	Please enter '90*5' in the highlighted field.	Please enter '15*2' in the highlighted field.	Please enter '5*4' in the highlighted field.	Please enter '20*5' in the highlighted field.	Please enter '4*5' in the highlighted field.	Please enter '25*15' in the highlighted field.	Please enter '6*3' in the highlighted field.
%(hintMessage_14_try_multiplying_previous_answer)%	Try multiplying your previous answer by the number of parts of the ride that Amy has completed.	Try multiplying your previous answer by the number of parts of the problems completed.	Try multiplying your previous answer by the number of parts of water already in the pool.	Try multiplying your previous answer by the number of parts of the fence already painted.	Try multiplying your previous answer by the number of parts of points already scored.	Try multiplying your previous answer by the number of parts of pounds already eaten.	Try multiplying your previous answer by the number of parts of minutes already completed.	Try multiplying your previous answer by the number of parts of copies already made.	Try multiplying your previous answer by the number of parts of brownies already made.
%(hintMessage_24_please_enter_2_highlighted)%	Please enter '2' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '270' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '42' in the highlighted field.
%(hintMessage_3_please_enter_6_highlighted)%	Please enter '6' in the highlighted field.	Please enter '27' in the highlighted field.	Please enter '720' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '32' in the highlighted field.	Please enter '400' in the highlighted field.	Please enter '60' in the highlighted field.
%(hintMessage_10_whats_answer_mathematical_expression)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(hintMessage_8_try_dividing_one_givens)%	Try dividing one of the givens by 3.	Try dividing one of the givens by the total number of parts of the other given.	Try dividing one of the givens by the total number of parts of the other given.	Try dividing one of the givens by the total number of parts into which the fence has been divided.	Try dividing one of the givens by the total number of parts into which the points have been divided.	Try dividing one of the givens by the total number of parts into which the pounds of food have been divided.	Try dividing one of the givens by the total number of parts into which the length of the drill has been divided.	Try dividing one of the givens by the total number of parts into which the copies have been divided.	Try dividing one of the givens by the total number of parts into which the brownies have been divided.
%(hintMessage_1_given_number_problem_description)%	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description
%(hintMessage_4_given_number_problem_description)%	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description
%(hintMessage_9_please_enter_63_highlighted)%	Please enter '6/3' in the highlighted field.	Please enter '27/9' in the highlighted field.	Please enter '720/8' in the highlighted field.	Please enter '45/3' in the highlighted field.	Please enter '25/5' in the highlighted field.	Please enter '120/6' in the highlighted field.	Please enter '32/8' in the highlighted field.	Please enter '400/16' in the highlighted field.	Please enter '60/10' in the highlighted field.
%(hintMessage_7_mathematical_expression_use_solve)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(hintMessage_18_please_enter_4_highlighted)%	Please enter '4' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '450' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '375' in the highlighted field.	Please enter '18' in the highlighted field.
%(hintMessage_19_mathematical_expression_use_solve)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(hintMessage_2_number_problem_description_represents)%	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?
%(hintMessage_25_please_click_highlighted_button)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(hintMessage_5_number_problem_description_represents)%	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?
%(hintMessage_23_number_show_work_step)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(hintMessage_13_mathematical_expression_use_solve)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(Input_9_numerdenom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%
%(Input_11_givendenom)%	%(given)%/%(denom)%	%(given)%/%(denom)%	%(given)%/%(denom)%	%(given)%/%(denom)%	%(given)%/%(denom)%	%(given)%/%(denom)%	%(given)%/%(denom)%	%(given)%/%(denom)%	%(given)%/%(denom)%
%(Input_15_givennumerdenom)%	%(given)%*%(numer)%/%(denom)%	%(given)%*%(numer)%/%(denom)%	%(given)%*%(numer)%/%(denom)%	%(given)%*%(numer)%/%(denom)%	%(given)%*%(numer)%/%(denom)%	%(given)%*%(numer)%/%(denom)%	%(given)%*%(numer)%/%(denom)%	%(given)%*%(numer)%/%(denom)%	%(given)%*%(numer)%/%(denom)%
%(Input_23_1)%	-1	-1	-1	-1	-1	-1	-1	-1	-1
